e2fsprogs	1.46.5-2ubuntu1.2
ed	1.18-1
efibootmgr	17-1ubuntu2
eject	2.37.2-4ubuntu3.5
emacsen-common	3.0.4
enchant-2	2.3.2-1ubuntu2
eog	42.0-1
espeak-ng-data:amd64	1.50+dfsg-10ubuntu0.1
esptool	2.8+dfsg-1
evince	42.3-0ubuntu3.2
evince-common	42.3-0ubuntu3.2
evolution-data-server	3.44.4-0ubuntu1.2
evolution-data-server-common	3.44.4-0ubuntu1.2
fdisk	2.37.2-4ubuntu3.5
file	1:5.41-3ubuntu0.1
file-roller	3.42.0-1
findutils	4.8.0-1ubuntu3
firefox	1:1snap1-0ubuntu2
firmware-sof-signed	2.0-1ubuntu4.7
flex	2.6.4-8build2
fontconfig	2.13.1-4.2ubuntu5
fontconfig-config	2.13.1-4.2ubuntu5
fonts-beng	2:1.3
fonts-beng-extra	3.2.1-1
fonts-dejavu-core	2.37-2build1
fonts-dejavu-extra	2.37-2build1
fonts-deva	2:1.3
fonts-deva-extra	3.0-5
fonts-droid-fallback	1:6.0.1r16-1.1build1
fonts-freefont-ttf	20120503-10build1
fonts-gargi	2.0-5
fonts-gubbi	1.3-5build1
fonts-gujr	2:1.4
fonts-gujr-extra	1.0.1-1
fonts-guru	2:1.3
fonts-guru-extra	2.0-5
fonts-indic	2:1.4
fonts-kacst	2.01+mry-15
fonts-kacst-one	5.0+svn11846-10
fonts-kalapi	1.0-4
fonts-khmeros-core	5.0-9ubuntu1
fonts-knda	2:1.3
fonts-lao	0.0.20060226-10ubuntu2
fonts-lato	2.0-2.1
fonts-liberation	1:1.07.4-11
fonts-liberation2	2.1.5-1
fonts-lklug-sinhala	0.6-4
fonts-lohit-beng-assamese	2.91.5-2
fonts-lohit-beng-bengali	2.91.5-2
fonts-lohit-deva	2.95.4-4
fonts-lohit-gujr	2.92.4-4
fonts-lohit-guru	2.91.2-2build1
fonts-lohit-knda	2.5.4-3
fonts-lohit-mlym	2.92.2-2
fonts-lohit-orya	2.91.2-2
fonts-lohit-taml	2.91.3-2
fonts-lohit-taml-classical	2.5.4-2
fonts-lohit-telu	2.5.5-2build1
fonts-lyx	2.3.6-1
fonts-mlym	2:1.3
fonts-nakula	1.0-4
fonts-navilu	1.2-3
fonts-noto-cjk	1:20220127+repack1-1
fonts-noto-cjk-extra	1:20220127+repack1-1
fonts-noto-color-emoji	2.047-0ubuntu0.22.04.1
fonts-noto-mono	20201225-1build1
fonts-opensymbol	2:102.12+LibO7.3.7-0ubuntu0.22.04.12
fonts-orya	2:1.3
fonts-orya-extra	2.0-6
fonts-pagul	1.0-8
fonts-sahadeva	1.0-5
fonts-samyak-deva	1.2.2-5build1
fonts-samyak-gujr	1.2.2-5build1
fonts-samyak-mlym	1.2.2-5build1
fonts-samyak-taml	1.2.2-5build1
fonts-sarai	1.0-3
fonts-sil-abyssinica	2.100-3
fonts-sil-padauk	5.000-3
fonts-smc	1:7.2
fonts-smc-anjalioldlipi	7.1.2-2
fonts-smc-chilanka	1.540-1
fonts-smc-dyuthi	3.0.2-2
fonts-smc-gayathri	1.110-2-1
fonts-smc-karumbi	1.1.2-2
fonts-smc-keraleeyam	3.0.2-2
fonts-smc-manjari	2.000-3
fonts-smc-meera	7.0.3-1
fonts-smc-rachana	7.0.2-1build1
fonts-smc-raghumalayalamsans	2.2.1-1
fonts-smc-suruma	3.2.3-1
fonts-smc-uroob	2.0.2-1
fonts-taml	2:1.4
fonts-telu	2:1.3
fonts-telu-extra	2.0-5
fonts-teluguvijayam	2.1-1
fonts-thai-tlwg	1:0.7.3-1
fonts-tibetan-machine	1.901b-6
fonts-tlwg-garuda	1:0.7.3-1
fonts-tlwg-garuda-ttf	1:0.7.3-1
fonts-tlwg-kinnari	1:0.7.3-1
fonts-tlwg-kinnari-ttf	1:0.7.3-1
fonts-tlwg-laksaman	1:0.7.3-1
fonts-tlwg-laksaman-ttf	1:0.7.3-1
fonts-tlwg-loma	1:0.7.3-1
fonts-tlwg-loma-ttf	1:0.7.3-1
fonts-tlwg-mono	1:0.7.3-1
fonts-tlwg-mono-ttf	1:0.7.3-1
fonts-tlwg-norasi	1:0.7.3-1
fonts-tlwg-norasi-ttf	1:0.7.3-1
fonts-tlwg-purisa	1:0.7.3-1
fonts-tlwg-purisa-ttf	1:0.7.3-1
fonts-tlwg-sawasdee	1:0.7.3-1
fonts-tlwg-sawasdee-ttf	1:0.7.3-1
fonts-tlwg-typewriter	1:0.7.3-1
fonts-tlwg-typewriter-ttf	1:0.7.3-1
fonts-tlwg-typist	1:0.7.3-1
fonts-tlwg-typist-ttf	1:0.7.3-1
fonts-tlwg-typo	1:0.7.3-1
fonts-tlwg-typo-ttf	1:0.7.3-1
fonts-tlwg-umpush	1:0.7.3-1
fonts-tlwg-umpush-ttf	1:0.7.3-1
fonts-tlwg-waree	1:0.7.3-1
fonts-tlwg-waree-ttf	1:0.7.3-1
fonts-ubuntu	0.83-6ubuntu1
fonts-urw-base35	20200910-1
fonts-wine	6.0.3~repack-1
fonts-yrsa-rasa	2.005-1
foomatic-db-compressed-ppds	20220223-0ubuntu1
fprintd	1.94.2-1ubuntu0.22.04.1
freeglut3:amd64	2.8.1-6
friendly-recovery	0.2.42
ftp	20210827-4build1
fuse3	3.10.5-1build1
fwupd	1.7.9-1~22.04.3
fwupd-signed	1.51.1~22.04.1+1.4-0ubuntu0.1
g++-11	11.4.0-1ubuntu1~22.04.3
g++-11-aarch64-linux-gnu	11.4.0-1ubuntu1~22.04.3cross1
g++-11-multilib	11.4.0-1ubuntu1~22.04.3
g++	4:11.2.0-1ubuntu1
g++-aarch64-linux-gnu	4:11.2.0-1ubuntu1
gamemode	1.6.1-1build2
gamemode-daemon	1.6.1-1build2
gcc-11	11.4.0-1ubuntu1~22.04.3
gcc-11-aarch64-linux-gnu	11.4.0-1ubuntu1~22.04.3cross1
gcc-11-aarch64-linux-gnu-base:amd64	11.4.0-1ubuntu1~22.04.3cross1
gcc-11-base:amd64	11.4.0-1ubuntu1~22.04.3
gcc-11-cross-base	11.4.0-1ubuntu1~22.04.3cross1
gcc-11-multilib	11.4.0-1ubuntu1~22.04.3
gcc-12-base:amd64	12.3.0-1ubuntu1~22.04.3
gcc-12-base:i386	12.3.0-1ubuntu1~22.04.3
gcc-12-cross-base	12.3.0-1ubuntu1~22.04.3cross1
gcc	4:11.2.0-1ubuntu1
gcc-aarch64-linux-gnu	4:11.2.0-1ubuntu1
gcc-arm-none-eabi	15:10.3-2021.07-4
gconf2	3.2.6-7ubuntu2
gconf2-common	3.2.6-7ubuntu2
gconf-service	3.2.6-7ubuntu2
gconf-service-backend	3.2.6-7ubuntu2
gcr	3.40.0-4
gdal-data	3.4.1+dfsg-1build4
gdb	12.1-0ubuntu1~22.04.2
gdb-multiarch	12.1-0ubuntu1~22.04.2
gdisk	1.0.8-4build1
gdm3	42.0-1ubuntu7.22.04.4
gds-tools-12-6	1.11.1.6-1
gedit	41.0-3
gedit-common	41.0-3
genisoimage	9:1.1.11-3.2ubuntu1
genromfs	0.5.2-4
geoclue-2.0	2.5.7-3ubuntu3
gettext	0.21-4ubuntu4
gettext-base	0.21-4ubuntu4
gfortran-11	11.4.0-1ubuntu1~22.04.3
gfortran	4:11.2.0-1ubuntu1
gh	2.4.0+dfsg1-2
ghostscript	9.55.0~dfsg1-0ubuntu5.13
ghostscript-x	9.55.0~dfsg1-0ubuntu5.13
gir1.2-accountsservice-1.0:amd64	22.07.5-2ubuntu1.6
gir1.2-adw-1:amd64	1.1.7-0ubuntu0.22.04.1
gir1.2-atk-1.0:amd64	2.36.0-3build1
gir1.2-atspi-2.0:amd64	2.44.0-3
gir1.2-dbusmenu-glib-0.4:amd64	16.04.1+18.10.20180917-0ubuntu8
gir1.2-dee-1.0	1.2.7+17.10.20170616-6ubuntu4
gir1.2-freedesktop:amd64	1.72.0-1
gir1.2-gck-1:amd64	3.40.0-4
gir1.2-gcr-3:amd64	3.40.0-4
gir1.2-gdesktopenums-3.0:amd64	42.0-1ubuntu1
gir1.2-gdkpixbuf-2.0:amd64	2.42.8+dfsg-1ubuntu0.5
gir1.2-gdm-1.0:amd64	42.0-1ubuntu7.22.04.4
gir1.2-geoclue-2.0:amd64	2.5.7-3ubuntu3
gir1.2-glib-2.0:amd64	1.72.0-1
gir1.2-gmenu-3.0:amd64	3.36.0-1ubuntu3
gir1.2-gnomebluetooth-3.0:amd64	42.0-5
gir1.2-gnomedesktop-3.0:amd64	42.9-0ubuntu1
gir1.2-goa-1.0:amd64	3.44.0-1ubuntu1
gir1.2-graphene-1.0:amd64	1.10.8-1
gir1.2-gst-plugins-base-1.0:amd64	1.20.1-1ubuntu0.6
gir1.2-gstreamer-1.0:amd64	1.20.3-0ubuntu1.1
gir1.2-gtk-3.0:amd64	3.24.33-1ubuntu2.2
gir1.2-gtk-4.0:amd64	4.6.9+ds-0ubuntu0.22.04.2
gir1.2-gtksource-4:amd64	4.8.3-1
gir1.2-gudev-1.0:amd64	1:237-2build1
gir1.2-gweather-3.0:amd64	40.0-5build1
gir1.2-handy-1:amd64	1.6.1-1
gir1.2-harfbuzz-0.0:amd64	2.7.4-1ubuntu3.2
gir1.2-ibus-1.0:amd64	1.5.26-4
gir1.2-javascriptcoregtk-4.0:amd64	2.50.4-0ubuntu0.22.04.1
gir1.2-json-1.0:amd64	1.6.6-1build1
gir1.2-mutter-10:amd64	42.9-0ubuntu9
gir1.2-nm-1.0:amd64	1.36.6-0ubuntu2.4
gir1.2-nma-1.0:amd64	1.8.34-1ubuntu1
gir1.2-notify-0.7:amd64	0.7.9-3ubuntu5.22.04.1
gir1.2-packagekitglib-1.0	1.2.5-2ubuntu3.1
gir1.2-pango-1.0:amd64	1.50.6+ds-2ubuntu1
gir1.2-peas-1.0:amd64	1.32.0-1
gir1.2-polkit-1.0	0.105-33ubuntu0.1
gir1.2-rb-3.0:amd64	3.4.4-5ubuntu1
gir1.2-rsvg-2.0:amd64	2.52.5+dfsg-3ubuntu0.2
gir1.2-secret-1:amd64	0.20.5-2
gir1.2-snapd-1:amd64	1.60-0ubuntu1
gir1.2-soup-2.4:amd64	2.74.2-3ubuntu0.7
gir1.2-totem-1.0:amd64	42.0-1ubuntu1
gir1.2-totemplparser-1.0:amd64	3.26.6-1build1
gir1.2-udisks-2.0:amd64	2.9.4-1ubuntu2.3
gir1.2-unity-7.0:amd64	7.1.4+19.04.20190319-6build1
gir1.2-upowerglib-1.0:amd64	0.99.17-1
gir1.2-vte-2.91:amd64	0.68.0-1ubuntu0.1
gir1.2-webkit2-4.0:amd64	2.50.4-0ubuntu0.22.04.1
gir1.2-wnck-3.0:amd64	40.1-1
git	1:2.34.1-1ubuntu1.17
git-man	1:2.34.1-1ubuntu1.17
gjs	1.72.4-0ubuntu0.22.04.4
gkbd-capplet	3.26.1-2
glib-networking:amd64	2.72.0-1
glib-networking-common	2.72.0-1
glib-networking:i386	2.72.0-1
glib-networking-services	2.72.0-1
gnome-accessibility-themes	3.28-1ubuntu3
gnome-bluetooth	3.34.5-8
gnome-bluetooth-3-common	42.0-5
gnome-bluetooth-common	3.34.5-8
gnome-calculator	1:41.1-2ubuntu2
gnome-calendar	41.2-3
gnome-characters	41.0-4
gnome-control-center	1:41.7-0ubuntu0.22.04.9
gnome-control-center-data	1:41.7-0ubuntu0.22.04.9
gnome-control-center-faces	1:41.7-0ubuntu0.22.04.9
gnome-desktop3-data	42.9-0ubuntu1
gnome-disk-utility	42.0-1ubuntu1
gnome-font-viewer	41.0-2
gnome-initial-setup	42.0.1-1ubuntu2.3
gnome-keyring	40.0-3ubuntu3
gnome-keyring-pkcs11:amd64	40.0-3ubuntu3
gnome-logs	42.0-1
