timestamp_us,angle_deg,altitude_m,score,top_val,mid_val,bot_val
9105298,0,-1.0,638.7272719599864,702.9999982397367,702.9999996895078,702.9999997688966
9213229,0,-1.0,638.7272721134437,702.9999985917893,702.9999997516063,702.9999998151173
9314050,0,-1.0,638.7272722362096,702.9999988734315,702.9999998012851,702.9999998520939
9412830,0,-1.0,638.7272723344223,702.9999990987453,702.999999841028,702.9999998816752
9516008,0,-1.0,638.7272724129924,702.9999992789963,702.9999998728225,702.9999999053402
9636981,0,-1.0,638.7272724758485,702.9999994231971,702.999999898258,702.9999999242723
9736011,0,-1.0,638.7272725261334,702.9999995385577,702.9999999186065,702.9999999394179
9834865,0,-1.0,638.7272725663613,702.9999996308462,702.9999999348852,702.9999999515344
9931420,0,-1.0,638.7272725985437,702.9999997046771,702.9999999479082,702.9999999612276
10027371,0,-1.0,638.7272726242896,702.9999997637417,702.9999999583266,702.9999999689821
10133844,0,-1.0,638.7272726448863,702.9999998109934,702.9999999666613,702.9999999751858
10242794,0,-1.0,638.7272726613636,702.9999998487947,702.9999999733291,702.9999999801487
10341217,0,-1.0,638.7272726745455,702.9999998790358,702.9999999786633,702.999999984119
10438228,0,-1.0,638.727272685091,702.9999999032287,702.9999999829306,702.9999999872953
10555857,0,-1.0,638.7272726935274,702.999999922583,702.9999999863445,702.9999999898363
10660739,0,-1.0,638.7272727002766,702.9999999380665,702.9999999890756,702.9999999918691
10772452,0,-1.0,638.7272727056758,702.9999999504532,702.9999999912606,702.9999999934953
10888383,0,-1.0,638.7272727099952,702.9999999603626,702.9999999930085,702.9999999947963
10985757,0,-1.0,638.7272727134508,702.9999999682901,702.9999999944068,702.9999999958371
11088359,0,-1.0,638.7272727162152,702.9999999746321,702.9999999955255,702.9999999966698
11195353,0,-1.0,638.7272727184268,702.9999999797058,702.9999999964205,702.9999999973359
11304809,0,-1.0,638.7272727201961,702.9999999837646,702.9999999971365,702.9999999978687
11425902,0,-1.0,638.7272727216114,702.9999999870117,702.9999999977092,702.999999998295
11541641,0,-1.0,638.7272727227437,702.9999999896095,702.9999999981674,702.9999999986361
11649859,0,-1.0,638.7272727236495,702.9999999916877,702.9999999985339,702.999999998909
